texte1,texte2
"The beach stretches for miles.","The river bends around the hill."
"The teacher praises the student.","The boss scolds the employee."
"The clock hands move slowly.","The timer counts down quickly."
"The market sells fresh vegetables.","The store offers frozen meals."
"The bird flies south in winter.","The fish swims deep in the ocean."
"The car horn honks loudly.","The bike bell rings softly."
"The forest echoes with sounds.","The desert stretches in silence."
"The soup simmers on the stove.","The cake bakes in the oven."
"The child plays with toys.","The adult works on projects."
"The street is busy with traffic.","The alley is quiet and empty."
"The phone vibrates on the table.","The laptop hums on the desk."
"The garden blooms with flowers.","The field grows with crops."
"The train travels across the country.","The bus stops at every station."
"The movie ends with a twist.","The book concludes with a cliffhanger."
"The teacher lectures in the classroom.","The speaker presents at the conference."
"The rain taps on the window.","The wind howls through the trees."
"The dog wags its tail happily.","The cat purrs contentedly."
"The clock strikes midnight.","The bell tolls at noon."
"The festival lights up the town.","The carnival fills the streets."
"The pen runs out of ink.","The marker still writes well."
"The shirt fits perfectly.","The pants are too short."
"The river flows swiftly.","The stream trickles slowly."
"The museum closes on Mondays.","The library opens on Sundays."
"The child sings a song.","The adult hums a tune."
"The sky clears after the storm.","The fog settles in the valley."
"The pizza arrives hot.","The ice cream melts quickly."
"The runner crosses the finish line.","The cyclist pedals uphill."
"The lamp casts a warm glow.","The flashlight shines a bright beam."
"The dog digs in the yard.","The cat climbs the tree."
"The book tells a thrilling story.","The article explains a complex topic."
"The sun heats the earth.","The moon reflects the light."
"The rain floods the streets.","The snow covers the roads."
"The teacher grades the exams.","The student submits the assignment."
"The phone rings in the morning.","The alarm wakes me at dawn."
"The market buzzes with people.","The park whispers with breezes."
"The bird nests in the tree.","The squirrel hides in the bush."
"The car parks in the garage.","The bike leans against the wall."
"The soup bowl is empty.","The salad plate is full."
"The runner sweats after the race.","The swimmer dries off after the dive."
"The clock hangs on the wall.","The calendar sits on the desk."
"The festival celebrates culture.","The parade honors history."
"The pen writes in blue ink.","The marker draws in red."
"The shirt stains easily.","The jacket repels water."
"The river reflects the sky.","The lake mirrors the mountains."
"The museum displays sculptures.","The gallery exhibits paintings."
"The child laughs at the joke.","The adult smiles at the memory."
"The train whistle blows loudly.","The bus engine hums quietly."
"The coffee brews in the kitchen.","The tea steeps in the pot."
"The dog greets me at the door.","The cat waits on the windowsill."
"The phone updates automatically.","The laptop needs a manual update."
"The beach waves crash rhythmically.","The river current flows steadily."
"The teacher explains with examples.","The tutor demonstrates with problems."
"The rain cools the air.","The sun warms the ground."
"The dog barks at the mailman.","The cat hisses at the dog."
"The clock ticks every second.","The metronome beats every measure."
"The festival features live music.","The fair offers fun rides."
"The pen rests on the notebook.","The pencil rolls off the table."
"The shirt dries in the sun.","The towel hangs in the bathroom."
"The river carves through the canyon.","The stream winds through the meadow."
"The museum hosts a new exhibit.","The library holds a book sale."
"The child builds a sandcastle.","The adult constructs a model."
"The sky glows with stars.","The city sparkles with lights."
"The rain patters on the roof.","The hail bounces off the ground."
"The dog fetches the ball.","The cat chases the laser."
"The book opens to the first page.","The diary locks with a key."
"The sun rises over the hills.","The moon sets behind the trees."
"The rain stops by noon.","The snow melts by spring."
"The teacher welcomes the students.","The principal addresses the parents."
"The phone charges on the desk.","The laptop plugs into the outlet."
"The market closes at dusk.","The store opens at dawn."
"The bird soars above the field.","The kite floats above the park."
"The car speeds down the highway.","The bike coasts down the hill."
"The soup warms on the burner.","The bread toasts in the oven."
"The runner stretches before the race.","The swimmer warms up before the meet."
"The clock glows in the dark.","The lamp dims at night."
"The festival ends with fireworks.","The ceremony concludes with speeches."
