sentence1;sentence2
Clark also expressed the hope that he and Redgrave could continue with their marriage.;Clark hoped that he could continue their marriage.
The poverty, for instance, does not create the sense of shame as it does for people who live in Western countries.;Poverty doesn't create a sense of shame in any country.
Back on the road to Jaisalmer, one last splash of color delights the senses before you plunge into the the fields are dotted with mounds of red hot chili peppers.;The road to Jaisalmer is bumpy and unpleasant to ride on. 
they supplied some uh you know they were some groups uh the Vicksburg if you ever get a chance to go over to Vicksburg the battleground at Vicksburg uh there's an area there where there was uh some Texas uh groups and they had an interesting time there;There were also North Carolina troops at Vicksburg.
which i mean i think it should be anyway;I don't think it should be that way
Also, compensation committees need to understand the implications of compensation to provide incentives for management to do the right thing for the company and its shareholders versus themselves.;The implications of compensation to provide incentives for management to do the right thing for the company and its shareholders versus themselves should always be ignored by compensation committees.
The fourth-century Roman emperor Gratianus was an early visitor, followed much later by such luminaries as the Romantic poet Alphonse de Lamartine, Queen Victoria, Saint-Sa?�?ns, and Rachmaninov.;Gratianus was a Roman empoeror.
So, I went to court by myself and told them the truth, but it didn't do me any good.;I went and told the truth at court but it didn't do me any good.
Click More Links (on the right-hand side under Miscellaneous), and from;There are no links to click under Miscellaneous.
and so i started watching it and all of a sudden stay tuned next week and i went what;I wouldn't have started watching it if I'd known.
no oh no oh well take care;Bye for now.
'Hello, Ben.';I ignored Ben
how can you prove it;Can you tell me how to prove it?
It displays all kinds of vehicles, from the coach that carried Napoleon to and from Moscow in 1812 to a splendid 4-horsepower Renault car from 1904 and other turn-of-the-century classics.;The exhibition only displays cars from the 2000s.
According to this executive, the town hall meetings helped improve his customer satisfaction levels because veterans identified the concerns that were most important to them, gained direct access to the VBA employees working on their benefit claims, and were better able to understand the claims process.;The own hall meetings helped improve his customer satisfaction levels, said the executive.
well see that isn't too bad  a couple hours;I don't like waiting, not even for 10 minutes.
In the east, Christian forces were in retreat as a new Moslem power began to rise.;Although the Christian forces were stronger, they were in retreat.
We have been told on reasonably high authority that true charity vaunteth not itself;True charity vaunts itself, we have been told.
yeah and what to do when they're faced with it;They'll face peer pressure and will need to say no.
The  With attorneys one year out of graduate school facing an average debt of just less than $90,000 and starting salaries at legal aid organizations averaging $31,000, they couldn't afford the job.;New attorneys have massive law school debt.
Here you'll see a shrunken head, a two-headed goat, and a statue of Marilyn Monroe made of shredded money, among other curiosities.;One of the curiosities is a two-headed goat.
Thursday's judge, the Honorable Charles Adams of the Coconino County Superior Court, agreed, but highly discouraged self-representation.;Self-representation was encouraged by the Honorable Charles Adams.
He mostly hangs out with a group of older, Southern black men, who call him Jumper and Black Cat.;The group of guys he tends to hang out with gave him the nickname Jumper.
This elegant spa town on the edge of the Lac du Bourget has offered cures for rheumatism and other ailments for centuries.;The town was only established in the past fifty years.
right right well it's it's a beautiful city and but the problem is like first example when i was young they they took me to Las Vegas and that was the most boring place on earth;I think Las Vegas is the most boring place I know.
'Less loud.;Please be quiet.
i'm going to be able to make my own clothes;I will be able to make my own clothing.
The river plays a central role in all visits to Paris.;The river is central to all vacations to Paris.
they're supposed to be bilingual;They're supposed to be bilingual 
Oh, Czarek, but will happen to us?;Czarek was not asked any questions on that day.
Turned out, I wasn't completely wrong.;I was 100 percent wrong. 
Native  'Me win, me passum heap big law ...;n/a
"In any case--it's over.""  ";It is over.
The herbal extract shows success in treating mild dementia and preventing Alzheimer's memory loss.;The herbal extract is not very good at treating dementia.  
After a lightning victory over the ill-prepared French armies, the Germans marched on Paris and laid siege to the city, which finally capitulated in January 1871 in the face of dwindling food supplies.;Paris was unhappy to have to surrender to the Germans.
That is why icons have the power they have.;That is why God moves me.
Critical to the product development process were activities that enabled the capture of specific design and manufacturing knowledge and decision reviews to determine if the knowledge captured would support the increased investment necessary to move to the next development phase or into production.;The knowledge captured would determine if the next step was further development or production.
Said I was foolishly proud. ;My pride was foolish not well placed.
The word had filled his head as though the girl had whispered directly into both ears.;The girl spoke very quietly. 
and a lot of their rules and regulations aren't real clear so we have our manager of environmental who assist the TACB which is located in Austin in writing and hey look what we've done here at TI;There rules are not really clear so we ask our manager for help.
Among these are the red brick Royal Palace, which now houses the Patan Museum (Nepal's finest and most modern museum), and, facing the palace across the narrow brick plaza, eight temples of different styles and sizes.;The Patan Museum is down the street from the red brick Royal Palace.
yeah it's kind of like in Louisiana where that uh guy that's like a Ku Klux Klan member something got elected  kind of scary when you think about that;A Ku Klux Klan member has been elected in Louisiana.
or at least they try and do something about it first;They might at least try and do something about it first.
i i'm i'm not really impressed with i mean i lived in Germany for three years i i was i'm not impressed with skiing now i like i like other you know winter sports but i'm not real thrilled about them;I am not a big fan of winter sports.
It's a commitment to general education--a sequence of courses intended to develop critical thinking in a wide variety of disciplines--in opposition to early specialization.;General education's focus is to develop students' critical thinking skills.
Theoretically scale economies in delivery are not firm specific.;Scale economies are flexible.
National saving represents resources available for investment to replace old factories and equipment and to buy more and better capital goods.;Old factories and equipment were never replaces, even when there was national savings.
Others complain that the superstars are over the hill, and are trotting out mediocre work.;Nobody complains about the superstars.
Collaboration with rigorous methodologists is important, but those collaborations have to focus on what can be accomplished specifically in the ED setting.;Working with rigorous methodologists is important.
you know their demographic studies that they do that show you know that everybody's IQ has dropped dramatically  or something;The studies showed their IQ increased quite a lot.
Without the support of federal finance organizations, program managers may not be able to determine or defend the cost associated with or benefits derived from government activities.;Federal finance organizations are the best source of information for program managers.
The union has about 4000 members in Canada.;There are 100 members in the union that live in Canada.
but then we started watching it and and like the new ones are pretty cool because because they got like uh like special like especially things that like fuck with your mind;The new ones have things that can fuck with your mind.
In 2000, GNP was less than GDP because income receipts from the rest of the world were less than U.S. payments to the rest of the world.;The US paid more to the rest of the world than the rest of the world received in income.
"Have you any tips to give us before we clear out?""";Anything we should know?
and they keep taking more money from us yeah people and get and they don't have any incentive to work if we're just gonna take fifty percent of it;People have a lot of incentive to work because they take home every penny earned.
They depended too heavily on the second great principle of contagion, and that seemed to be wrapped up with some kind of association through the signs and houses and the courses of the planets.;The signs, houses and the courses of the planets have a great impact on daily life.
i guess the financial planners the training now we've had it for about four years here got our businesses and and and our life in line how to manage credit cards how to put away say for you know money markets and this kind of thing;The financial planners do not assist people with issues related to credit cards.
Richardson's need to make Picasso into a serious artist and an honorable man (instead of the inspired poetic rascal he actually was) deforms, above all, his account of Picasso's relations with women, he writes.;Picasso was a gentleman and not an inspired poetic rascal.
'Uh, hi guys,' Daniel said meekly.;Daniel greeted everyone even though he was shy.
oh um i talked to someone about San Antonio;I spoke with someone about Dallas.
A misty morning makes the scene even more evocative of the past.;A misty morning in Paris brings to mind old evocative imagery of times gone by.
Due to this rationalization of delivery cost in the U.S., the postal densities of the most sparsely populated areas are higher than the densities of the most sparsely populated areas of France.;Postal density refers to the amount of junk mail delivered in a given area.
Races are held between April and December at the Veliefendi Hippodrome near Bakerky, 15 km (9 miles) west of Istanbul.;There are races from April to December at Veliefendi Hippodrome.
The production of anhydrous ammonia in the U.S. in 2000 was approximately 17,400,000 tons (equivalent anhydrous) with apparent consumption of 22,000,000 tons and about 4,600,000 met through net imports, as shown in a 2001 edition of U.S.;The US does not produce any anhydrous ammonia each year.
oh yeah they do that i mean in in in north Texas they do that quite a bit where you know if you want to go to this particular movie or concert or a discounted thing the big thing down here is rodeos uh if you;I try to get discounted prices when I can. 
Over the past eight years, the school acquired over $88 million of real estate in the Allston section of Boston without revealing its identity to prospective sellers.;Over the past eight years, the school acquired more than 88 million in real estate in the Allston section of Boston while remaining completely anonymous even to its own students.
uh it's but then there's so many people you get so many different opinions like well you shouldn't have well i shouldn't have to have to do this or i shouldn't have to do that and all this other stuff i don't want to get involved and;Opinions tend to vary.
um-hum so you figure one of these days you're going to go back to being an engineer is that what you think;One of these days, you will go back to studying.
"Right on the waterfront; offers a more formal atmosphere and a great place to catch a sunset.";It has a terrible view of the sunset.
To be sure that any needlework item is the genuine article (as opposed to an inferior import or machine-made piece), look for a lead seal with an M, the emblem of IBTAM meaning it's been certified by the Instituto de Bordado, Tapecaras e Arte?�?sanato da Madeira (Institute of Madeiran Embroidery, Tapestry, and Handicrafts), an official island organization that has a showroom/museum on Rua Visconde de Anadia, 44.;There is a seal to show authenticity. 
However, my confidence in him, which at one time had rather waned, was fully restored since his belief in Alfred Inglethorp's innocence had been so triumphantly vindicated. ;I felt the real murderer should now be easier to determine.
(Kohler's Dictionary for Accountants) CONTRACT AUTHORITY - Contract authority is a subset of budget authority.;Contract authority must be granted by the financial authority.
The company once assembled, Poirot rose from his seat with the air of a popular lecturer, and bowed politely to his audience. ;Poirot rose from his seat, bowed and started addressing the audience.
It will be a pleasure dressing Jane.;Dressing Jane will be enjoyable.
"Engakuji is Kamakura's largest temple complex; often wracked by fire and earthquake, 17 of the original 46 buildings have survived.";None of the original buildings in Engakuji are still remaining.
In applying this requirement, the following factors may influence the auditors' assessment of control ;The influence of the following factors is possible.
do they live close by;Is their house near here?
History defies laws.;Laws are weak when talking about the past and the future.
Now conservatives are fighting back.;Conservatives are battling now.
" the uncompromising Vel?�?zquez portrait of ugly Queen Marianna of Austria; El Greco's powerfully mystic Christ on the Crose Ribera's gruesomely good-humored The Club Foot.";El Greco was a extremely famous Spanish painter whose work was often religious.
There are good road connections between Sant Antoni and both CaleT?�?rida and CaleBadella, with the result that both bays have now been developed.;With the good road connections, both bays have been developed.
and if you yeah if you want to so at least you you know you wouldn't have any surprises you can order any type of you know service you want but you stand a good chance you know having to pick up at least part of the bill yourself;You may have to foot the bill if you order any service you want.
The individual artisans' shops are no longer here, but you can visit a silk-weaving factory, a ceramics plant, and the Foshan Folk Art Studio, where you can observe workers making Chinese lanterns, carving sculptures, painting scrolls, and cutting intricate designs in paper.;Workers carve sculptures and paint scrolls with great enthusiasm.
"Really, Sir Ernest, protested the judge, ""these questions are not relevant."" Sir Ernest bowed, and having shot his arrow proceeded. ";Sir Ernest bent his head slightly, and continued.
The house is surprisingly small and simple, with one bedroom, a tiny kitchen, and a couple of social rooms.;The house is very large and boasts over ten bedrooms, a huge kitchen, and a full sized olympic pool.
Fiction has its glories, but concealment is merely squalid.;Hiding things is just dirty, whereas there is glory in fiction
um but i think in time come you're going to see that happening you're going to see um where the high risk people pay a premium but they have to find a way to prove it;It would take some time before high-risk people start paying a premium.
Are there children who need to be entertained?;No children ever want to be entertained.
Hopefully, Wall Street will take voluntary steps to address these issues before it is forced to act.;Wall Street is facing issues, that need to be addressed. 
okay pro football i like two teams one the New York Giants and the second is the Raiders;The New York Giants and Raiders are my favorite teams in football.
"He'd stopped wondering and now accepted; he meant to get away from here at the first chance and he was somehow sure he could.";The doctors office was a terrible place and he wanted out.
yeah it's strange because well it it's not strange because i use to be the same way and i'm even to this day  you know some vegetables really turn me off but when you read so much information that says this is a healthier way to go you know and this is what your body wants this is what your body really needs and when you think about what is what's the real reason your eating i know i know it's for taste because i'm boy am i a taste person but;i'm a taste person and all vegetables taste very nice unlike other types of food
in public places there is one state that does that by the way;in public places there are absolutely no place that does that
Once, Las Vegas showrooms were filled with top entertainment headliners, comedians, production shows, and dancing girls that could be enjoyed at a very low price.;Due to inflation and the production value, Las Vegas shows now cost more to see.
uh stick on those things and they can just all that's all they have to do i mean that wouldn't cost a great deal of money and uh;It wouldn't cost them much money to just stick on those things.
we have gone on trips we've bathed in streams;In addition to bathing in streams, we've also gone to spas and saunas.
On the mainland, an invasion of even greater significance followed in 1580, when Philip II of Spain proclaimed himself king of Portugal and marched his armies across the border.;Philip II of Spain invaded Portugal.
This involves a morning or afternoon of theory and shallow-water work, giving you an opportunity to try out the basic techniques before committing yourself a full open-water course.;You won't get a chance to try out basic techniques with theory or anything.
Initiatives completed under Phase I of the Plan include the ;There is no Phase 1 of the plan as it will all be conducted in one step.
yeah well i'm well i'm definitely for it;I am certainly in agreement with it.
yeah yeah glad to see y'all taken care of well the i think what changed everything and uh is uh y'all were y'all the only ones that make any money for TI here in the last two years;In the past few years, no one has made any money for TI.
But what he means by what he shows is anybody's guess.;His presentation was extremely clear.
you know and held over for trial;Released and no trial.
I tipped it upside down.;I turned it over.
Continue along this road to reach the pretty coastal town of Molyvos (also known by its ancient name, Mithymna), a popular spot for tourists.;Molyvos is a run down town in the center of the region, not popular at all with tourists.
For a screening test, high sensitivity is the most desirable parameter.;They wanted to have low sensitivity. 
What involvement did other key players have in connection with these accountability failures?;Nobody was concerned about the failures.
In the violet shade of morning, Ca'daan saw Adrin standing on the dunes in sword practice.;"Adrin was lost in the night as a swordsman chased after him that many knew as ""Ca'daan""."
i bet even my cats could do that;My cats could probably do that because they are brilliant.
Southeast of Saint-Jean-de-Luz is Ascain, with a village square surrounded by enchanting 17th-century houses and a typical wooden-galleried church.;The church was built in the 20th century.
He distinctly said you were to repair the sky.;He only muttered something about splitting the sky.
Lorenzo the Magnificent and brother Giuliano lie in simple tombs beneath the sculptor's Madonna and Child, flanked by lesser artists' statues of the family patron saints Cosmas and Damian.;Lorenzo and Giuliano were related to one another.
They watched me constantly for weeks.;They left me on my own for weeks.
It has a staff of about 100 employees, including attorneys and support staff, in 10 branch offices.;The 10 branches had close to 100 employees.
First we applied three alternative concentrationresponse (C-R) functions to estimate premature mortality incidence.;No CR functions were applied to the incidence. 
All we've done is checked that the first two creditors divided their collective share of $125 appropriately;The first two creditors divided their shares correctly.
However, little evidence remains of that era some ceramics in the museum, a few fortifications, a network of irrigation ditches.;There is little evidence left of that era.
, chief knowledge officers or chief technical officers) that diffuse responsibility across several senior-level managers.;Chief officers often spread their responsibility among senior-level managers. 
oh no well i don't find a lot of time to watch TV and a lot of the time i find it during the day when i'm rocking my little girl to sleep  so i watch a lot of reruns old shows;I enjoy watching the old reruns because I find them calming.
so that will definitely help in taxes and what you will get back;You'll probably get a lot bigger refund.
The smart Annie was not in evidence.;The clever Annie was not in proof.
Yes, Mistuh Reese, suh? ;THe slave spoke to Mr Reece.
At the heart of the sanctuary, a small granite shrine once held the sacred barque of Horus himself.;Horus has a shrine.
Postal Service's domestic rates for First-Class and Priority Mail to the inbound mail distribution described above.;Usps domestic rates for priority and first class mail ate described above. 
do you like um any rock and roll at all;So you don't like rock and roll?
Dining room, grill, pub.;It has a dining room but no grill.
"What have you, my friend, he cried, ""that you remain there like, how do you say it?, ah, yes, the stuck pig?"" I explained that I was afraid of obliterating any foot-marks. ";I didn't say anything when he asked me that question.
But such a show would have meant the museum taking a hard look at its own, often controversial part in the art world.;The museum didn't want to look too closely into its part in the art world.
But you will find fishermen, many of whom are direct descendants of some 600 Genoese mercenaries King Charles III rescued from captivity on Tunisia's Tabarka Island, hence the name.;Tabarka Island is part of Turkey.
And while we allow people to give a kidney to their child, we do not allow them to donate their heart.;You can't always donate organs to your child. 
Unbar, Francisco! he called in Spanish.;He call Francisco in Spanish.
The Commission is unwilling to recommend an interpretation of the statute that produces such consequences, absent an express congressional intent that such burdens be imposed.;Unless congress expresses an intent that such burdens be imposed, the Commission is unwilling to recommend an interpretation of the statute that produces such consequences.
"Who could there be?""";The speaker doesn't know who it is.
My wife and daughter are the ones doing Riley.;My grandmother and grandmother's lesbian lover are doing Riley.
Take a backwaters trip through the lagoons and around the island villages.;Backwater rides are popular in this area. 
Alcohol use and trauma.;Trauma is the leading cause of alcohol abuse.
In a culture where Xena and Hercules have hit TV shows, it's a lot more fun imagining that you are a valiant warrior doing business-as-battle than it is to admit that you're a pudgy functionary whose most daring deed is to draft a boldly worded memo.;Xena and Hercules both have hit shows on CBS.
Laibson's imperfect altruists face a far subtler problem--they're not just weighing costs and benefits, they're engaged in games of strategy against their future selves.;Laibson has selfish people that follow him.
'But if they catch me...';But if they kill me
The win brought tears to her eyes, of course, and prompted a phone call to Mom in India.;She called her father after she lost, smiling as she did it.
The New York Times ' Janet Maslin says the film works precisely because it is derivative--its stars, Matt Dillon and Gary Sinise, emulate the characters in The Usual Suspects , which gives them extraordinary opportunities to preen.;The movie stars Matt Dillon and Gary Sinise.
The Muslim campaign for Partition was led by London-trained Bombay lawyer, Muhammad Ali Jinnah.;Muhammad Ali Jinnah went to London to campaign for Partition. 
it's um it's it's amazingly less expensive than it is;It's much more expensive that way.
Automobile includes small trucks.;Small trucks are not great automobiles.
"You're quite safe."" Her breath came more normally, and the colour was returning to her cheeks.";She started recovering from the mild shock she had gone through.
probably so probably so um-hum;probably yes so uh-huh
After its early failure, Hubble now provides vital clues to the universe.;Hubble failed earlier becuase they weren't making enough discoveries.
well they all come back from from the bottom;They bounce back from the bottom.
A library with the maximum allowable e-rate subsidy of 90 percent would still find itself paying a monthly Internet bill of $186.;A library has a maximum subsidy of 90% for utilities.
and i was never in a minor league city until i came Dallas we were a minor league city when i came here in fifty nine and i immediately bought season tickets uh to the class triple A uh uh Dallas Rangers;Dallas was always in the majors.
Just a hunch.;It is just a guess
The SPAN  A Guide to Legal Services Planning.;The SPAN A guide is a guide used for legal service planning.
yeah i think they did a pretty good job but  they didn't follow it exactly but they did give it you know do it justice;They made a good rendition.
The Citizens of the United States of America have a right to applaud themselves for having given to mankind examples of an enlarged and liberal  a policy worthy of imitation.;The citizens of the U.S. are supposed to be proud of themselves.
She always says the right thing, does the right thing, wears the right clothes.;She does, says, and wears everything perfectly, consistently. 
Leave the river briefly to loop east around Talcy, with its Romanesque church and the 13th-century chateau of Thizy, before ending your trip at Montr??al.;It is recommended that you leave river briefly before ending your trip at Montr�?al.
yeah and i you know i think defense really is what wins wins uh in the long run you can have the best half back there is or the best quarterback but if they don't have any blocking maybe they can't do anything;I think a good defense is the most important thing you need to win games.
'You killed Derry.';Derry is still alive. 
